Country Name,Country Code,Series Name,Series Code,1970 [YR1970],1980 [YR1980],1990 [YR1990],2000 [YR2000],2010 [YR2010]
Afghanistan,AFG,"Barro-Lee: Average years of primary schooling, age 15+, total",BAR.PRM.SCHL.15UP,0.45,0.76,1.26,2.01,2.64
Afghanistan,AFG,"Barro-Lee: Average years of secondary schooling, age 15+, total",BAR.SEC.SCHL.15UP,0.18,0.34,0.44,0.65,1
Afghanistan,AFG,"Barro-Lee: Average years of tertiary schooling, age 15+, total",BAR.TER.SCHL.15UP,0.06,0.12,0.17,0.2,0.21
Afghanistan,AFG,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,1.14,1.78,2.5,4.5,4.81
Afghanistan,AFG,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,88.81,82.03,75.04,67.85,58.38
Afghanistan,AFG,"UIS: Percentage of population age 25+ with no schooling, both sexes",UIS.EA.NS.AG25T99,..,..,..,..,..
Albania,ALB,"Barro-Lee: Average years of primary schooling, age 15+, total",BAR.PRM.SCHL.15UP,2.69,4.07,5.56,6.48,6.48
Albania,ALB,"Barro-Lee: Average years of secondary schooling, age 15+, total",BAR.SEC.SCHL.15UP,1.5,2.19,2.77,2.81,3.4
Albania,ALB,"Barro-Lee: Average years of tertiary schooling, age 15+, total",BAR.TER.SCHL.15UP,0.1,0.12,0.17,0.19,0.05
Albania,ALB,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,7.01,9.55,10.08,9.77,9.17
Albania,ALB,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,37.92,24.54,10.91,1.27,3.28
Albania,ALB,"UIS: Percentage of population age 25+ with no schooling, both sexes",UIS.EA.NS.AG25T99,..,..,..,..,..
Algeria,DZA,"Barro-Lee: Average years of primary schooling, age 15+, total",BAR.PRM.SCHL.15UP,1.16,1.91,3.05,3.73,4.19
Algeria,DZA,"Barro-Lee: Average years of secondary schooling, age 15+, total",BAR.SEC.SCHL.15UP,0.39,0.86,1.58,1.74,2.12
Algeria,DZA,"Barro-Lee: Average years of tertiary schooling, age 15+, total",BAR.TER.SCHL.15UP,0.01,0.05,0.11,0.19,0.37
Algeria,DZA,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,3.02,4.75,7.18,6.69,7.41
Algeria,DZA,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,73.64,55.76,38.88,28.17,21.12
Algeria,DZA,"UIS: Percentage of population age 25+ with no schooling, both sexes",UIS.EA.NS.AG25T99,..,..,..,..,..
American Samoa,ASM,"Barro-Lee: Average years of primary schooling, age 15+, total",BAR.PRM.SCHL.15UP,..,..,..,..,..
American Samoa,ASM,"Barro-Lee: Average years of secondary schooling, age 15+, total",BAR.SEC.SCHL.15UP,..,..,..,..,..
American Samoa,ASM,"Barro-Lee: Average years of tertiary schooling, age 15+, total",BAR.TER.SCHL.15UP,..,..,..,..,..
American Samoa,ASM,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,..,..,..,..,..
American Samoa,ASM,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..
American Samoa,ASM,"UIS: Percentage of population age 25+ with no schooling, both sexes",UIS.EA.NS.AG25T99,..,..,..,..,..
Andorra,AND,"Barro-Lee: Average years of primary schooling, age 15+, total",BAR.PRM.SCHL.15UP,..,..,..,..,..
Andorra,AND,"Barro-Lee: Average years of secondary schooling, age 15+, total",BAR.SEC.SCHL.15UP,..,..,..,..,..
Andorra,AND,"Barro-Lee: Average years of tertiary schooling, age 15+, total",BAR.TER.SCHL.15UP,..,..,..,..,..
Andorra,AND,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,..,..,..,..,..
Andorra,AND,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..
Andorra,AND,"UIS: Percentage of population age 25+ with no schooling, both sexes",UIS.EA.NS.AG25T99,..,..,..,..,..
Angola,AGO,"Barro-Lee: Average years of primary schooling, age 15+, total",BAR.PRM.SCHL.15UP,..,..,..,..,..
Angola,AGO,"Barro-Lee: Average years of secondary schooling, age 15+, total",BAR.SEC.SCHL.15UP,..,..,..,..,..
Angola,AGO,"Barro-Lee: Average years of tertiary schooling, age 15+, total",BAR.TER.SCHL.15UP,..,..,..,..,..
Angola,AGO,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,..,..,..,..,..
Angola,AGO,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..
Angola,AGO,"UIS: Percentage of population age 25+ with no schooling, both sexes",UIS.EA.NS.AG25T99,..,..,..,..,..
Antigua and Barbuda,ATG,"Barro-Lee: Average years of primary schooling, age 15+, total",BAR.PRM.SCHL.15UP,..,..,..,..,..
Antigua and Barbuda,ATG,"Barro-Lee: Average years of secondary schooling, age 15+, total",BAR.SEC.SCHL.15UP,..,..,..,..,..
Antigua and Barbuda,ATG,"Barro-Lee: Average years of tertiary schooling, age 15+, total",BAR.TER.SCHL.15UP,..,..,..,..,..
Antigua and Barbuda,ATG,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,..,..,..,..,..
Antigua and Barbuda,ATG,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..
Antigua and Barbuda,ATG,"UIS: Percentage of population age 25+ with no schooling, both sexes",UIS.EA.NS.AG25T99,..,..,..,..,..
Argentina,ARG,"Barro-Lee: Average years of primary schooling, age 15+, total",BAR.PRM.SCHL.15UP,5.16,5.63,6.02,6.32,6.57
Argentina,ARG,"Barro-Lee: Average years of secondary schooling, age 15+, total",BAR.SEC.SCHL.15UP,1,1.46,1.97,2.17,2.66
Argentina,ARG,"Barro-Lee: Average years of tertiary schooling, age 15+, total",BAR.TER.SCHL.15UP,0.14,0.22,0.38,0.24,0.28
Argentina,ARG,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,7.15,8.08,9.25,8.8,8.75
Argentina,ARG,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,7.02,4.91,4.8,3.48,0.93
Argentina,ARG,"UIS: Percentage of population age 25+ with no schooling, both sexes",UIS.EA.NS.AG25T99,8.3,7.1,..,..,1.08694
Armenia,ARM,"Barro-Lee: Average years of primary schooling, age 15+, total",BAR.PRM.SCHL.15UP,3.77,4.5,5.35,5.02,4.62
Armenia,ARM,"Barro-Lee: Average years of secondary schooling, age 15+, total",BAR.SEC.SCHL.15UP,4.31,4.48,4.5,4.87,5.29
Armenia,ARM,"Barro-Lee: Average years of tertiary schooling, age 15+, total",BAR.TER.SCHL.15UP,0.38,0.46,0.54,0.54,0.81
Armenia,ARM,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,7.45,9.35,10.47,8.75,9.47
Armenia,ARM,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,4.04,2.62,1.26,0.6,0.6
Armenia,ARM,"UIS: Percentage of population age 25+ with no schooling, both sexes",UIS.EA.NS.AG25T99,..,..,..,..,..
Aruba,ABW,"Barro-Lee: Average years of primary schooling, age 15+, total",BAR.PRM.SCHL.15UP,..,..,..,..,..
Aruba,ABW,"Barro-Lee: Average years of secondary schooling, age 15+, total",BAR.SEC.SCHL.15UP,..,..,..,..,..
Aruba,ABW,"Barro-Lee: Average years of tertiary schooling, age 15+, total",BAR.TER.SCHL.15UP,..,..,..,..,..
Aruba,ABW,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,..,..,..,..,..
Aruba,ABW,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..
Aruba,ABW,"UIS: Percentage of population age 25+ with no schooling, both sexes",UIS.EA.NS.AG25T99,..,..,..,2.15934,4.87369
Australia,AUS,"Barro-Lee: Average years of primary schooling, age 15+, total",BAR.PRM.SCHL.15UP,5.62,5.87,5.81,5.8,5.97
Australia,AUS,"Barro-Lee: Average years of secondary schooling, age 15+, total",BAR.SEC.SCHL.15UP,3.48,4.61,4.6,4.56,4.59
Australia,AUS,"Barro-Lee: Average years of tertiary schooling, age 15+, total",BAR.TER.SCHL.15UP,0.6,0.73,0.76,0.71,0.99
Australia,AUS,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,11.22,11.99,9.81,9.49,10.81
Australia,AUS,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,0.76,0.8,1.09,1.08,0.72
Australia,AUS,"UIS: Percentage of population age 25+ with no schooling, both sexes",UIS.EA.NS.AG25T99,..,..,..,..,0.13187
Austria,AUT,"Barro-Lee: Average years of primary schooling, age 15+, total",BAR.PRM.SCHL.15UP,4.9,4.62,4.21,3.81,3.85
Austria,AUT,"Barro-Lee: Average years of secondary schooling, age 15+, total",BAR.SEC.SCHL.15UP,2.42,3.19,3.99,4.78,5.26
Austria,AUT,"Barro-Lee: Average years of tertiary schooling, age 15+, total",BAR.TER.SCHL.15UP,0.08,0.09,0.16,0.38,0.49
Austria,AUT,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,4.51,4.85,5.21,6.31,5.93
Austria,AUT,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,3.49,0.1,0.95,1.36,1.29
Austria,AUT,"UIS: Percentage of population age 25+ with no schooling, both sexes",UIS.EA.NS.AG25T99,..,..,..,..,..
Azerbaijan,AZE,"Barro-Lee: Average years of primary schooling, age 15+, total",BAR.PRM.SCHL.15UP,..,..,..,..,..
Azerbaijan,AZE,"Barro-Lee: Average years of secondary schooling, age 15+, total",BAR.SEC.SCHL.15UP,..,..,..,..,..
Azerbaijan,AZE,"Barro-Lee: Average years of tertiary schooling, age 15+, total",BAR.TER.SCHL.15UP,..,..,..,..,..
Azerbaijan,AZE,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,..,..,..,..,..
Azerbaijan,AZE,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..
Azerbaijan,AZE,"UIS: Percentage of population age 25+ with no schooling, both sexes",UIS.EA.NS.AG25T99,..,..,..,..,1.55034
"Bahamas, The",BHS,"Barro-Lee: Average years of primary schooling, age 15+, total",BAR.PRM.SCHL.15UP,..,..,..,..,..
"Bahamas, The",BHS,"Barro-Lee: Average years of secondary schooling, age 15+, total",BAR.SEC.SCHL.15UP,..,..,..,..,..
"Bahamas, The",BHS,"Barro-Lee: Average years of tertiary schooling, age 15+, total",BAR.TER.SCHL.15UP,..,..,..,..,..
"Bahamas, The",BHS,"Barro-Lee: Average years of total schooling, age 15-19, total",BAR.SCHL.1519,..,..,..,..,..
"Bahamas, The",BHS,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..
"Bahamas, The",BHS,"UIS: Percentage of population age 25+ with no schooling, both sexes",UIS.EA.NS.AG25T99,..,..,3.52378,1.38992,2.07658
Bahrain,BHR,"Barro-Lee: Average years of primary schooling, age 15+, total",BAR.PRM.SCHL.15UP,2.05,3.15,3.83,4.29,4.05
